,AGREGA,ESPVIDA,RDPC,T_ANALF25M,T_FREQ15A17,T_FREQ5A6,T_FREQ6A14,ANOSEST,MORT1,RAZDEP,GINI,PRENTRAB,PIND,RMPOB
7,11,70.74,,10.85,81.33,83.4,97.71,6.71,21.27,44.54,,,,
8,11,70.94,,11.11,82.04,89.06,97.18,6.65,20.82,42.88,,,,
9,11,71.14,,9.44,87.75,90.91,98.6,7.01,20.38,46.15,,,,
10,11,71.34,602.49,8.64,84.6,92.0,98.67,7.04,19.96,43.16,0.478,77.93,4.85,108.94
11,11,71.53,618.98,9.24,85.52,93.27,99.31,7.26,19.55,42.4,0.456,78.74,4.4,109.25
12,12,72.51,,18.96,83.21,82.51,97.2,6.79,20.06,59.05,,,,
13,12,72.89,,19.81,85.0,86.2,96.81,6.68,19.18,58.49,,,,
14,12,73.26,,19.76,84.21,90.71,97.43,6.85,18.37,53.81,,,,
15,12,73.61,,18.59,85.63,87.36,97.89,7.01,17.63,56.73,,,,
16,12,73.94,507.32,18.03,84.71,90.68,97.62,7.03,16.95,52.72,0.576,76.1,10.79,120.22
17,12,74.25,497.33,16.77,81.84,87.46,96.38,7.09,16.34,51.22,0.566,72.29,14.05,111.39
18,13,70.91,,9.75,82.44,87.52,96.8,7.69,20.71,57.36,,,,
19,13,71.17,,9.88,88.15,89.62,98.04,7.88,20.71,56.48,,,,
20,13,71.42,,9.8,83.71,86.78,97.38,7.83,19.38,55.18,,,,
21,13,71.67,,10.5,84.7,89.26,97.27,8.16,18.77,50.88,,,,
22,13,71.91,503.04,8.99,88.65,89.16,97.86,8.14,18.21,51.87,0.57,79.78,9.54,129.7
23,13,72.14,556.26,8.57,88.11,94.33,99.07,8.5,17.67,49.31,0.602,79.3,10.54,115.64
24,14,70.22,,9.49,85.66,95.26,99.32,8.58,17.96,55.66,,,,
25,14,70.57,,9.27,88.39,92.1,97.71,8.63,17.76,51.82,,,,
26,14,70.9,,8.99,88.29,95.67,98.7,8.6,17.57,48.53,,,,
27,14,71.22,,8.96,86.44,96.24,99.11,8.67,17.39,49.05,,,,
28,14,71.53,714.33,9.67,89.89,94.62,99.38,8.74,17.2,46.62,0.547,83.89,4.56,127.47
29,14,71.84,648.03,8.52,88.12,96.75,98.98,8.96,17.02,48.0,0.546,82.68,6.22,104.96
30,15,71.3,,13.88,86.53,89.64,97.38,6.63,18.89,54.98,,,,
31,15,71.51,,13.95,84.93,91.3,98.33,6.67,18.26,53.27,,,,
32,15,71.71,,12.26,86.75,91.81,98.02,7.0,17.65,52.09,,,,
33,15,71.91,,12.63,86.25,92.96,98.31,6.94,17.09,51.7,,,,
34,15,72.1,479.92,11.6,87.09,95.35,99.12,7.1,16.56,48.14,0.532,76.24,8.34,127.22
35,15,72.29,468.49,11.59,85.84,94.97,98.82,7.32,16.07,47.02,0.525,75.32,9.69,119.88
36,16,72.78,,8.34,86.96,79.17,96.54,8.12,24.11,57.8,,,,
37,16,73.09,,7.78,89.43,88.47,97.04,8.22,23.88,50.64,,,,
38,16,73.38,,9.26,84.21,87.94,97.61,8.34,23.67,55.02,,,,
39,16,73.66,,9.43,84.83,86.67,98.22,8.43,23.45,55.48,,,,
40,16,73.93,591.25,6.42,88.35,88.19,98.23,8.92,23.24,48.61,0.561,84.6,7.28,125.25
41,16,74.19,605.54,7.78,89.27,81.35,98.32,8.7,23.03,46.73,0.594,85.62,7.65,132.08
42,17,72.21,,15.36,84.79,91.96,97.63,6.98,18.04,53.79,,,,
43,17,72.52,,16.2,85.21,89.6,97.08,7.1,17.43,52.95,,,,
44,17,72.82,,15.32,89.47,94.51,98.72,7.37,16.86,50.58,,,,
45,17,73.11,,14.34,84.23,94.83,98.86,7.26,16.32,50.77,,,,
46,17,73.39,577.64,13.71,86.99,94.4,99.72,7.26,15.82,47.88,0.498,77.35,5.38,117.64
47,17,73.65,607.91,13.06,90.47,97.52,99.61,7.69,15.34,46.89,0.505,73.58,5.12,121.63
48,21,69.38,,25.68,83.49,94.98,98.15,5.74,26.08,58.51,,,,
49,21,69.68,,24.02,84.54,97.2,98.44,6.03,24.75,56.8,,,,
50,21,69.98,,23.39,84.81,97.3,98.43,6.1,23.52,56.55,,,,
51,21,70.28,,23.39,84.95,97.49,98.75,6.12,22.37,55.89,,,,
52,21,70.57,384.88,21.47,88.43,98.06,98.93,6.3,21.3,53.86,0.529,68.22,14.42,112.42
53,21,70.85,387.34,21.13,85.11,97.75,99.13,6.51,20.32,52.18,0.538,66.84,15.62,107.28
54,22,70.31,,25.85,88.33,96.59,98.98,5.63,21.81,49.66,,,,
55,22,70.5,,25.67,85.56,97.29,98.82,5.95,21.07,48.74,,,,
56,22,70.68,,24.67,88.58,99.04,99.16,6.14,20.37,50.0,,,,
57,22,70.87,,23.48,84.5,98.32,99.37,6.28,19.72,48.24,,,,
58,22,71.06,502.44,22.61,89.55,99.65,98.87,6.34,19.11,47.7,0.546,65.77,10.83,119.83
59,22,71.23,487.56,21.45,89.4,99.02,99.75,6.56,18.53,48.77,0.541,62.18,13.27,107.73
60,23,72.91,,21.67,83.26,97.91,98.12,6.27,17.56,49.67,,,,
61,23,73.15,,21.85,81.78,98.19,98.3,6.29,16.65,49.45,,,,
62,23,73.39,,20.92,81.16,97.86,98.63,6.42,15.81,47.72,,,,
63,23,73.62,,20.19,83.12,95.48,98.36,6.53,15.07,48.84,,,,
64,23,73.85,507.14,18.71,84.8,98.02,98.83,6.7,14.4,46.12,0.553,67.76,10.59,114.58
65,23,74.07,537.86,17.5,86.91,98.93,99.06,7.06,13.79,46.46,0.559,68.62,10.59,113.61
66,24,74.69,,19.97,83.6,96.1,97.65,6.47,18.08,47.87,,,,
67,24,74.97,,21.08,84.68,97.06,98.02,6.5,17.04,45.78,,,,
68,24,75.23,,20.17,80.83,96.68,98.78,6.72,16.14,45.02,,,,
69,24,75.48,,17.62,85.18,98.36,98.75,7.18,15.34,43.58,,,,
70,24,75.72,617.7,18.24,84.78,98.54,98.32,7.27,14.65,44.52,0.557,67.8,7.71,116.39
71,24,75.96,550.07,16.95,87.92,99.22,99.12,7.24,14.05,43.58,0.529,63.84,9.34,111.82
72,25,71.94,,23.49,82.37,95.72,98.5,5.81,20.18,50.12,,,,
73,25,72.29,,24.71,80.81,94.69,98.31,5.8,19.02,50.49,,,,
74,25,72.61,,22.23,82.22,97.58,98.11,6.34,17.97,49.87,,,,
75,25,72.93,,22.24,83.32,95.16,98.68,6.52,17.01,47.85,,,,
76,25,73.23,529.17,20.22,85.17,97.38,98.82,6.68,16.15,47.96,0.54,64.41,7.37,127.34
77,25,73.53,601.57,20.96,86.07,98.12,98.93,6.85,15.37,47.55,0.562,67.13,7.98,120.31
78,26,72.13,,19.29,84.11,95.06,97.69,6.65,15.87,49.1,,,,
79,26,72.6,,18.61,83.58,94.74,97.46,6.81,14.85,48.7,,,,
80,26,73.05,,17.05,82.6,94.78,98.03,7.16,13.99,46.63,,,,
81,26,73.48,,17.17,83.48,95.63,98.78,7.2,13.26,45.29,,,,
82,26,73.89,588.82,16.29,84.82,98.93,98.99,7.15,12.66,43.67,0.577,71.14,8.81,114.56
83,26,74.27,558.69,15.82,84.97,99.03,98.68,7.32,12.14,45.14,0.556,67.76,10.71,111.63
84,27,70.03,,25.06,81.93,93.41,97.47,5.89,25.9,50.36,,,,
85,27,70.44,,26.04,80.52,91.16,96.77,5.81,24.03,52.02,,,,
86,27,70.84,,24.39,82.48,93.93,97.84,6.11,22.36,50.44,,,,
87,27,71.23,,25.41,81.82,93.9,97.2,6.08,20.86,48.32,,,,
88,27,71.6,443.96,23.25,81.89,94.76,98.31,6.28,19.53,46.6,0.527,65.35,11.43,112.51
89,27,71.97,426.14,22.65,82.88,95.57,98.49,6.38,18.34,47.08,0.53,61.32,12.39,112.41
90,28,71.6,,20.99,83.76,97.59,98.29,6.48,20.05,46.05,,,,
91,28,71.88,,20.0,85.94,96.06,97.48,6.44,18.94,48.4,,,,
92,28,72.15,,18.78,86.14,96.82,98.73,6.84,17.94,45.9,,,,
93,28,72.41,,18.69,85.38,98.34,98.8,6.93,17.02,43.66,,,,
94,28,72.67,590.33,19.43,86.57,96.83,98.74,6.89,16.19,42.71,0.571,72.78,9.28,115.23
95,28,72.92,540.99,17.97,88.56,96.63,98.59,7.06,15.43,44.05,0.557,68.32,11.58,106.25
96,29,72.47,,20.07,83.16,93.91,98.0,6.3,20.87,48.25,,,,
97,29,72.73,,19.52,87.57,93.91,98.0,6.39,19.86,48.77,,,,
98,29,72.99,,17.73,85.96,96.54,98.38,6.55,18.95,47.53,,,,
99,29,73.23,,16.78,87.43,97.73,98.99,6.95,18.11,46.2,,,,
100,29,73.47,523.73,17.19,85.45,98.04,99.06,6.76,17.35,45.14,0.549,67.52,9.47,119.89
101,29,73.71,566.26,15.76,86.46,96.96,98.53,7.04,16.64,45.33,0.598,69.53,12.71,107.49
102,31,76.13,,10.27,85.59,92.38,98.71,7.09,13.2,44.15,,,,
103,31,76.41,,9.4,83.51,94.27,98.91,7.2,12.56,43.38,,,,
104,31,76.7,,8.67,85.88,96.12,98.82,7.56,11.97,43.77,,,,
105,31,76.97,,7.87,84.42,96.63,99.05,7.68,11.41,41.17,,,,
