Código,Título
0,"Membros das Forças Armadas, Policiais e Bombeiros Militares"
1,"Membros Superiores do Poder Público, Dirigentes de Organizações de Interesse Público e de Empresas, Gerentes"
2,Profissionais das Ciências e das Artes
3,Técnicos de Nivel Médio
4,Trabalhadores de Serviços Administrativos
5,"Trabalhadores dos Serviços, Vendedores do Comércio em Lojas e Mercados"
6,"Trabalhadores Agropecuários, Florestais e da Pesca"
7,Trabalhadores da Produção de Bens e Serviços Industriais
8,Trabalhadores da Produção de Bens e Serviços Industriais
9,Trabalhadores em Serviços de Reparação e Manutenção
