id,nome,uf_nome,uf_id,uf,regiao,latitude,longitude,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017
1100015,Alta Floresta D'Oeste,Rondônia,11,RO,Norte,-11.9296917,-61.9961284,25728,25652,25578,25506,25437
1100023,Ariquemes,Rondônia,11,RO,Norte,-9.9076522,-63.033069,101269,102860,104401,105896,107345
1100031,Cabixi,Rondônia,11,RO,Norte,-13.505215100000001,-60.67735728254216,6495,6424,6355,6289,6224
1100049,Cacoal,Rondônia,11,RO,Norte,-11.4333,-61.4420502,85863,86556,87226,87877,88507
1100056,Cerejeiras,Rondônia,11,RO,Norte,-13.183968700000001,-61.204777958881465,18041,18013,17986,17959,17934
1100064,Colorado do Oeste,Rondônia,11,RO,Norte,-13.13694415,-60.537200274415866,19190,19001,18817,18639,18467
1100072,Corumbiara,Rondônia,11,RO,Norte,-12.8814593,-61.22329237206951,9036,8938,8842,8749,8659
1100080,Costa Marques,Rondônia,11,RO,Norte,-12.4367165,-64.2279765,15853,16258,16651,17031,17400
1100098,Espigão D'Oeste,Rondônia,11,RO,Norte,-11.532175,-61.0130935,31699,32047,32385,32712,33030
1100106,Guajará-Mirim,Rondônia,11,RO,Norte,-10.7804239,-65.3327825,45761,46203,46632,47048,47451
1100114,Jaru,Rondônia,11,RO,Norte,-10.431826,-62.478769,55597,55669,55738,55806,55871
1100122,Ji-Paraná,Rondônia,11,RO,Norte,-10.8778148,-61.9277854,128026,129242,130419,131560,132667
1100130,Machadinho D'Oeste,Rondônia,11,RO,Norte,-9.4240851,-61.9923719,35633,36412,37167,37899,38609
1100148,Nova Brasilândia D'Oeste,Rondônia,11,RO,Norte,-11.722692,-62.315545,21427,21511,21592,21670,21747
1100155,Ouro Preto do Oeste,Rondônia,11,RO,Norte,-10.7166851,-62.2602399,40099,40010,39924,39840,39759
1100189,Pimenta Bueno,Rondônia,11,RO,Norte,-11.6767868,-61.1863902,36939,37230,37512,37786,38051
1100205,Porto Velho,Rondônia,11,RO,Norte,-8.7494525,-63.8735438,484992,494013,502748,511219,519436
1100254,Presidente Médici,Rondônia,11,RO,Norte,-11.1686638,-61.9057627,23017,22783,22557,22337,22124
1100262,Rio Crespo,Rondônia,11,RO,Norte,-9.7052777,-62.9004474,3666,3709,3750,3790,3829
1100288,Rolim de Moura,Rondônia,11,RO,Norte,-11.727071,-61.771411,55357,55807,56242,56664,57074
1100296,Santa Luzia D'Oeste,Rondônia,11,RO,Norte,-11.9064424,-61.7797356,8887,8706,8532,8362,8198
1100304,Vilhena,Rondônia,11,RO,Norte,-12.7368536,-60.1465555,87727,89797,91801,93745,95630
1100320,São Miguel do Guaporé,Rondônia,11,RO,Norte,-11.6951466,-62.7195739,23668,23803,23933,24059,24181
1100338,Nova Mamoré,Rondônia,11,RO,Norte,-10.4104864,-65.3313761,26227,26925,27600,28255,28891
1100346,Alvorada D'Oeste,Rondônia,11,RO,Norte,-11.346271,-62.284697,17399,17228,17063,16902,16747
1100379,Alto Alegre dos Parecis,Rondônia,11,RO,Norte,-12.1314515,-61.856265,13827,13884,13940,13993,14045
1100403,Alto Paraíso,Rondônia,11,RO,Norte,-9.7240103,-63.3188123,19459,19841,20210,20569,20916
1100452,Buritis,Rondônia,11,RO,Norte,-10.2054937,-63.8281954,36555,37207,37838,38450,39044
1100502,Novo Horizonte do Oeste,Rondônia,11,RO,Norte,-11.7105311,-61.9993277,10515,10393,10276,10161,10051
1100601,Cacaulândia,Rondônia,11,RO,Norte,-10.3380043,-62.9007231,6268,6318,6367,6414,6460
1100700,Campo Novo de Rondônia,Rondônia,11,RO,Norte,-10.5704235,-63.6199511,13939,14081,14220,14354,14484
1100809,Candeias do Jamari,Rondônia,11,RO,Norte,-8.7949939,-63.7018851,22973,23573,24155,24719,25266
1100908,Castanheiras,Rondônia,11,RO,Norte,-11.4277212,-61.9486802,3689,3653,3617,3583,3550
1100924,Chupinguaia,Rondônia,11,RO,Norte,-12.5528918,-60.9027819,9636,9887,10129,10364,10593
1100940,Cujubim,Rondônia,11,RO,Norte,-9.3687919,-62.5832107,19410,20204,20974,21720,22443
1101005,Governador Jorge Teixeira,Rondônia,11,RO,Norte,-10.6140224,-62.7326412,10534,10327,10127,9933,9745
1101104,Itapuã do Oeste,Rondônia,11,RO,Norte,-9.189646,-63.1910097,9661,9831,9995,10155,10310
1101203,Ministro Andreazza,Rondônia,11,RO,Norte,-11.1981045,-61.5167422,10899,10860,10823,10786,10751
1101302,Mirante da Serra,Rondônia,11,RO,Norte,-11.0321694,-62.6717012,12469,12414,12360,12308,12258
1101401,Monte Negro,Rondônia,11,RO,Norte,-10.2603398,-63.2977025,15541,15710,15873,16032,16186
1101435,Nova União,Rondônia,11,RO,Norte,-10.91591,-62.5570096,7883,7853,7824,7796,7769
1101450,Parecis,Rondônia,11,RO,Norte,-12.1810712,-61.6037558,5477,5589,5697,5802,5904
1101468,Pimenteiras do Oeste,Rondônia,11,RO,Norte,-13.482271,-61.047052,2440,2432,2424,2417,2410
1101476,Primavera de Rondônia,Rondônia,11,RO,Norte,-11.829456,-61.315336,3597,3548,3501,3456,3411
1101484,São Felipe D'Oeste,Rondônia,11,RO,Norte,-11.9107798,-61.5130058,6219,6160,6103,6048,5994
1101492,São Francisco do Guaporé,Rondônia,11,RO,Norte,-12.0609982,-63.5668307,18265,18640,19002,19353,19694
1101500,Seringueiras,Rondônia,11,RO,Norte,-11.7715738,-63.0346835,12505,12543,12581,12617,12653
1101559,Teixeirópolis,Rondônia,11,RO,Norte,-10.9336967,-62.2560049,5080,5041,5003,4966,4931
1101609,Theobroma,Rondônia,11,RO,Norte,-10.246489,-62.3493803,11343,11345,11347,11348,11350
1101708,Urupá,Rondônia,11,RO,Norte,-11.1256535,-62.3704203,13491,13391,13293,13198,13106
1101757,Vale do Anari,Rondônia,11,RO,Norte,-9.8580807,-62.1741423,10518,10682,10843,10999,11149
1101807,Vale do Paraíso,Rondônia,11,RO,Norte,-10.4266959,-62.1300904,8425,8327,8231,8138,8047
1200013,Acrelândia,Acre,12,AC,Norte,-10.0759167,-67.0526898,13353,13613,13869,14120,14366
1200054,Assis Brasil,Acre,12,AC,Norte,-10.9409203,-69.5672108,6480,6610,6738,6863,6986
1200104,Brasiléia,Acre,12,AC,Norte,-11.0010413,-68.7487894,22899,23378,23849,24311,24765
1200138,Bujari,Acre,12,AC,Norte,-9.8309656,-67.9520886,9003,9173,9339,9503,9664
1200179,Capixaba,Acre,12,AC,Norte,-10.5741345,-67.6759719,9836,10170,10498,10820,11136
1200203,Cruzeiro do Sul,Acre,12,AC,Norte,-7.6307956,-72.6703869,80377,80953,81519,82075,82622
1200252,Epitaciolândia,Acre,12,AC,Norte,-11.0289439,-68.7411519,16099,16417,16731,17038,17340
1200302,Feijó,Acre,12,AC,Norte,-8.1648652,-70.3539579,32411,32398,32385,32372,32360
1200328,Jordão,Acre,12,AC,Norte,-9.1911406,-71.9481397,7147,7330,7509,7685,7858
1200336,Mâncio Lima,Acre,12,AC,Norte,-7.6145911,-72.905264,16410,16795,17173,17545,17910
1200344,Manoel Urbano,Acre,12,AC,Norte,-8.838755,-69.2619465,8386,8514,8641,8765,8886
1200351,Marechal Thaumaturgo,Acre,12,AC,Norte,-8.9479792,-72.7872614,15857,16380,16895,17401,17897
1200385,Plácido de Castro,Acre,12,AC,Norte,-10.3239154,-67.1824196,17795,17979,18159,18336,18510
1200393,Porto Walter,Acre,12,AC,Norte,-8.2687722,-72.7444458,10143,10453,10759,11059,11353
1200401,Rio Branco,Acre,12,AC,Norte,-9.9765362,-67.8220778,357194,363928,370550,377057,383443
1200427,Rodrigues Alves,Acre,12,AC,Norte,-7.7380283,-72.6509379,15968,16475,16974,17464,17945
1200435,Santa Rosa do Purus,Acre,12,AC,Norte,-9.4354872,-70.4926109,5374,5593,5809,6021,6230
1200450,Senador Guiomard,Acre,12,AC,Norte,-9.9765,-67.31913961038961,20799,20992,21182,21369,21552
1200500,Sena Madureira,Acre,12,AC,Norte,-9.0659556,-68.6571058,40311,41036,41750,42451,43139
1200609,Tarauacá,Acre,12,AC,Norte,-8.1602019,-70.7665368,37571,38201,38819,39427,40024
1200708,Xapuri,Acre,12,AC,Norte,-10.6511174,-68.5017902,17021,17317,17608,17894,18174
1200807,Porto Acre,Acre,12,AC,Norte,-9.7562526,-67.3582093,16029,16396,16757,17111,17459
1300029,Alvarães,Amazonas,13,AM,Norte,-3.214786,-64.8143124,15166,15357,15545,15729,15908
1300060,Amaturá,Amazonas,13,AM,Norte,-3.3640509,-68.1994689,10436,10644,10847,11047,11242
1300086,Anamã,Amazonas,13,AM,Norte,-3.5797356,-61.4049996,11636,11981,12320,12653,12978
1300102,Anori,Amazonas,13,AM,Norte,-3.7435254,-61.6605203,18351,18826,19292,19749,20196
1300144,Apuí,Amazonas,13,AM,Norte,-7.1940195,-59.8830192,19860,20258,20648,21031,21406
1300201,Atalaia do Norte,Amazonas,13,AM,Norte,-4.3658547,-70.1908742,17174,17658,18133,18599,19054
1300300,Autazes,Amazonas,13,AM,Norte,-3.5833283,-59.1301518,35554,36301,37033,37752,38454
1300409,Barcelos,Amazonas,13,AM,Norte,-0.9729214,-62.925635,27110,27273,27433,27589,27743
1300508,Barreirinha,Amazonas,13,AM,Norte,-2.798863,-57.067897,29737,30202,30658,31105,31542
1300607,Benjamin Constant,Amazonas,13,AM,Norte,-4.3782748,-70.0290603,37564,38533,39484,40417,41329
1300631,Beruri,Amazonas,13,AM,Norte,-3.9007135,-61.3717319,17332,17755,18171,18579,18978
1300680,Boa Vista do Ramos,Amazonas,13,AM,Norte,-2.9716927,-57.5869819,16820,17248,17668,18080,18483
1300706,Boca do Acre,Amazonas,13,AM,Norte,-8.7553487,-67.3930873,32792,33148,33498,33840,34176
1300805,Borba,Amazonas,13,AM,Norte,-4.3934778,-59.5947721,38073,38688,39292,39885,40464
1300839,Caapiranga,Amazonas,13,AM,Norte,-3.3188884,-61.2096404,12004,12214,12420,12622,12820
1300904,Canutama,Amazonas,13,AM,Norte,-6.5330019,-64.3834966,14754,14944,15130,15312,15490
1301001,Carauari,Amazonas,13,AM,Norte,-4.8766426,-66.8961433,27405,27645,27880,28111,28337
1301100,Careiro,Amazonas,13,AM,Norte,-3.8185277,-60.3616505,35431,35938,36435,36922,37399
1301159,Careiro da Várzea,Amazonas,13,AM,Norte,-3.197024,-59.8259104,26722,27357,27981,28592,29190
1301209,Coari,Amazonas,13,AM,Norte,-4.0885957,-63.1431166,81325,82209,83078,83929,84762
1301308,Codajás,Amazonas,13,AM,Norte,-3.8413202,-62.0603444,25696,26242,26777,27303,27817
1301407,Eirunepé,Amazonas,13,AM,Norte,-6.6567654,-69.866161,33127,33580,34025,34461,34888
1301506,Envira,Amazonas,13,AM,Norte,-7.437889,-70.028143,18051,18422,18786,19143,19492
1301605,Fonte Boa,Amazonas,13,AM,Norte,-2.55,-66.91321428571428,21859,21295,20742,20199,19669
1301654,Guajará,Amazonas,13,AM,Norte,-7.5455927,-72.5832769,15291,15561,15826,16085,16339
1301704,Humaitá,Amazonas,13,AM,Norte,-7.5099404,-63.0248674,49137,50230,51302,52354,53383
1301803,Ipixuna,Amazonas,13,AM,Norte,-7.047909,-71.693426,25362,26118,26860,27587,28299
1301852,Iranduba,Amazonas,13,AM,Norte,-3.2758203,-60.1867429,44503,45250,45984,46703,47407
1301902,Itacoatiara,Amazonas,13,AM,Norte,-3.1477898,-58.4461041,94278,95714,97122,98503,99854
1301951,Itamarati,Amazonas,13,AM,Norte,-6.4385189,-68.2437385,8232,8205,8179,8153,8128
1302009,Itapiranga,Amazonas,13,AM,Norte,-2.7461205,-58.025377,8774,8864,8953,9040,9125
1302108,Japurá,Amazonas,13,AM,Norte,-1.8808468,-66.9967657,6083,5599,5125,4660,4205
1302207,Juruá,Amazonas,13,AM,Norte,-3.4746666,-66.0622335,12408,12807,13198,13581,13956
1302306,Jutaí,Amazonas,13,AM,Norte,-2.7471478,-66.7721255,17376,16977,16585,16200,15824
1302405,Lábrea,Amazonas,13,AM,Norte,-7.2613683,-64.7924505,41600,42439,43263,44071,44861
1302504,Manacapuru,Amazonas,13,AM,Norte,-3.2996768,-60.6213528,91795,92996,94175,95330,96460
1302553,Manaquiri,Amazonas,13,AM,Norte,-3.4305885,-60.4593078,26530,27480,28413,29327,30222
1302603,Manaus,Amazonas,13,AM,Norte,-3.1316333,-59.9825041,1982177,2020301,2057711,2094391,2130264
1302702,Manicoré,Amazonas,13,AM,Norte,-5.804618,-61.289483,51331,52200,53053,53890,54708
1302801,Maraã,Amazonas,13,AM,Norte,-1.8535579,-65.5897749,18310,18367,18423,18477,18531
1302900,Maués,Amazonas,13,AM,Norte,-3.3795798,-57.7196072,57663,58834,59983,61110,62212
1303007,Nhamundá,Amazonas,13,AM,Norte,-2.1921521,-56.7111308,19792,20078,20358,20633,20902
1303106,Nova Olinda do Norte,Amazonas,13,AM,Norte,-3.8926889,-59.0953046,33829,34498,35156,35800,36431
1303205,Novo Airão,Amazonas,13,AM,Norte,-2.6260236,-60.9434406,16719,17199,17671,18133,18586
